SN,Name,Symbol,Status,Sector,Instrument,Email,Website
223,Ghorahi Cement Industry Limited,GCIL,Active,Manufacturing And Processing,Equity,enquiry@ghorahicement.com,www.ghorahicement.com.np
224,Three Star Hydropower Limited,TSHL,Active,Hydro Power,Equity,sapsu2016@gmail.com,threestarhydro.com
225,Kutheli Bukhari Small Hydropower Limited,KBSH,Active,Hydro Power,Equity,kuthelihydro@gmail.com,kuthelihydropower.com.np
226,Reliable Nepal Life Insurance Limited,RNLI,Active,Life Insurance,Equity,share@reliablelife.com.np,https://reliablelife.com.np
227,Sun Nepal Life Insurance Company Limited,SNLI,Active,Life Insurance,Equity,info@snlic.com.np,https://www.snlic.com.np/
228,Manakamana Engineering Hydropower Limited,MEHL,Active,Hydro Power,Equity,hydromanakamana@gmail.com,www.hydromanakamana.com.np
229,Upper Lohore Khola Hydropower Company Limited,ULHC,Active,Hydro Power,Equity,upperlohore.hydro@gmail.com,www.ulkhp.com
230,Citizen Life Insurance Company Limited,CLI,Active,Life Insurance,Equity,info@citizenlifenepal.com,www.citizenlifenepal.com
231,Mandu Hydropower Limited,MANDU,Active,Hydro Power,Equity,info@manduhydropower.com,www.manduhydropower.com
232,Hathway Investment Nepal Limited,HATHY,Active,Investment,Equity,nepal.hathway@gmail.com,https://www.hathwaynepal.com.np/
233,Bhagawati Hydropower Development Company Limited,BGWT,Active,Hydro Power,Equity,bhdcpokhara1@gmail.com,www.bhagawatihydro.com.np
234,Mid Solu Hydropower Limited,MSHL,Active,Hydro Power,Equity,midsolu.hydropower@gmail.com,https://midsoluhydropower.com.np/
235,Sonapur Minerals And Oil Limited,SONA,Active,Manufacturing And Processing,Equity,finance@sonacement.com,www.sonacement.com
236,Mathillo Mailun Khola Jalvidhyut Limited,MMKJL,Active,Hydro Power,Equity,mailung@sanimahydro.com,sanimamailung.com
237,Trishuli Jal Vidhyut Company Limited,TVCL,Active,Hydro Power,Equity,tjvclshare2080@gmail.com,
238,Vision Lumbini Urja Company Limited,VLUCL,Active,Hydro Power,Equity,urja@visionlumbini.com.np,www.visionlumbiniurja.com
239,Muktinath Krishi Company Limited,MKCL,Active,Others,Equity,info@muktinathkrishi.com,www.muktinathkrishi.com
240,Chirkhwa Hydropower Limited,CKHL,Active,Hydro Power,Equity,chirkhwa@gmail.com,www.chirkhwahpl.com
241,Nepal Warehousing Company Limited,NWCL,Active,Others,Equity,info@nwcl.com.np,www.nwcl.com.np
242,Himalayan Reinsurance Limited,HRL,Active,Others,Equity,contactus@himalayanre.com,www.himalayanre.com
243,Sarbottam Cement Limited,SARBTM,Active,Manufacturing And Processing,Equity,info@sarbottamcement.com,www.sarbottamcement.com
244,Guardian Micro Life Insurance Limited,GMLI,Active,Life Insurance,Equity,info@gmli.co,www.gmli.com.np
245,Nepal Micro Insurance Company Limited,NMIC,Active,Non Life Insurance,Equity,info@nepalmicro.com,www.nepalmicro.com
246,Crest Micro Life Insurance Limited,CREST,Active,Life Insurance,Equity,info@cmli.com.np,www.cmli.com.np
247,Om Megashree Pharmaceuticals Limited,OMPL,Active,Manufacturing And Processing,Equity,info@ommegashreepharmaceuticals.com,www.ommegashreepharmaceuticals.com
248,Pure Energy Limited,PURE,Active,Others,Equity,info@pureenergynepal.com,https://pureenergynepal.com/
249,Trade Tower Limited,TTL,Active,Others,Equity,info@tradetower.com.np,
250,Sanvi Energy Limited,SANVI,Active,Hydro Power,Equity,energysanvi513@gmail.com,www.sanvienergy.com
251,Bikash Hydropower Company Limited,BHCL,Active,Hydro Power,Equity,uppermachhakhola@gmail.com,www.bikashhydro.com.np
252,Him Star Urja Company Limited,HIMSTAR,Active,Hydro Power,Equity,urjahimstar@gmail.com,www.urjahimsta.com.np
253,Mabilung Energy Limited,MABEL,Active,Hydro Power,Equity,mabilung@gmail.com,www.mabilung.com
254,Daramkhola Hydro Energy Limited,DHEL,Active,Hydro Power,Equity,daramkholahydroenergy@gmail.com,https://daramkholahydro.com
255,Sagar Distillery Limited,SAGAR,Active,Manufacturing And Processing,Equity,legal@sagardistilleries.com,www.sagardistilleries.com
256,Swastik Laghubitta Bittiya Sanstha Limited,SWASTIK,Active,Microfinance,Equity,swastik.financeanditdepart@gmail.com,www.swastikmicrofinance.com
257,Bungal Hydro Limited,BUNGAL,Active,Hydro Power,Equity,info.kghep@gmail.com,bungalhydro.com.np
258,Bandipur Cablecar and Tourism Limited,BANDIPUR,Active,Hotels And Tourism,Equity,information@bandipurhill.com,www.bandipurhill.com
259,Jhapa Energy Limited,JHAPA,Active,Others,Equity,solarpower@jhapaenergy.com.np,https://jhapaenergy.com.np/
260,Shreenagar Agritech Industries Limited,SAIL,Active,Manufacturing And Processing,Equity,info@safnepal.com,www.safnepal.com
261,SY Panel Nepal Limited,SYPNL,Active,Manufacturing And Processing,Equity,synepal34@gmail.com,https://synepal.com/about.php
1,Banking SubIndex,Banking SubIndex,Active,Index,Index,,
2,Development Bank Index,Development Bank Index,Active,Index,Index,,
3,Finance Index,Finance Index,Active,Index,Index,,
4,Hotels And Tourism,Hotels And Tourism,Active,Index,Index,,
5,HydroPower Index,HydroPower Index,Active,Index,Index,,
6,Investment,Investment,Active,Index,Index,,
7,Life Insurance,Life Insurance,Active,Index,Index,,
8,Manufacturing And Processing,Manufacturing And Processing,Active,Index,Index,,
9,Microfinance Index,Microfinance Index,Active,Index,Index,,
10,Mutual Fund,Mutual Fund,Active,Index,Index,,
11,Non Life Insurance,Non Life Insurance,Active,Index,Index,,
12,Others Index,Others Index,Active,Index,Index,,
13,Trading Index,Trading Index,Active,Index,Index,,
14,Nepse Index,Nepse Index,Active,Index,Index,,
